Nitrofurantoin DILI = 0.9254, Ames = 0.7998, hERG = 0.2433, CYP3A4 = 0.4018, Teratogenicity = 0.6694
Morphine_128 DILI = 0.0311, Ames = 0.2843, hERG = 0.1916, CYP3A4 = 0.1218, Teratogenicity = 0.3306
Codeine_129 DILI = 0.0941, Ames = 0.0508, hERG = 0.1881, CYP3A4 = 0.0835, Teratogenicity = 0.3656
Amoxicillin_130 DILI = 0.4143, Ames = 0.0370, hERG = 0.0306, CYP3A4 = 0.0586, Teratogenicity = 0.6870
Ampicillin_131 DILI = 0.2076, Ames = 0.0515, hERG = 0.0358, CYP3A4 = 0.1052, Teratogenicity = 0.7112
Penicillin G_132 DILI = 0.1749, Ames = 0.1040, hERG = 0.0547, CYP3A4 = 0.1255, Teratogenicity = 0.7201
Azithromycin_133 DILI = 0.8324, Ames = 0.0449, hERG = 0.1186, CYP3A4 = 0.3758, Teratogenicity = 0.6745
Ciprofloxacin_134 DILI = 0.9708, Ames = 0.6855, hERG = 0.0819, CYP3A4 = 0.0353, Teratogenicity = 0.7255
Levofloxacin_135 DILI = 0.9081, Ames = 0.2742, hERG = 0.3293, CYP3A4 = 0.2114, Teratogenicity = 0.8257
Doxycycline_136 DILI = 0.3770, Ames = 0.0937, hERG = 0.2108, CYP3A4 = 0.0458, Teratogenicity = 0.7223
Clarithromycin_137 DILI = 0.7283, Ames = 0.1201, hERG = 0.0462, CYP3A4 = 0.1546, Teratogenicity = 0.6552
Metronidazole_138 DILI = 0.3734, Ames = 0.6288, hERG = 0.1064, CYP3A4 = 0.0310, Teratogenicity = 0.4086
Amlodipine_140 DILI = 0.6185, Ames = 0.0156, hERG = 0.5356, CYP3A4 = 0.8182, Teratogenicity = 0.0905
Lisinopril_141 DILI = 0.1708, Ames = 0.1490, hERG = 0.0761, CYP3A4 = 0.1072, Teratogenicity = 0.3314
Losartan_142 DILI = 0.8126, Ames = 0.1785, hERG = 0.6899, CYP3A4 = 0.8940, Teratogenicity = 0.3974
Metoprolol_144 DILI = 0.0535, Ames = 0.1632, hERG = 0.5246, CYP3A4 = 0.1880, Teratogenicity = 0.1072
Atenolol_145 DILI = 0.1130, Ames = 0.2128, hERG = 0.2204, CYP3A4 = 0.0991, Teratogenicity = 0.1769
Bisoprolol_146 DILI = 0.0615, Ames = 0.1129, hERG = 0.6988, CYP3A4 = 0.3987, Teratogenicity = 0.1216
Carvedilol_147 DILI = 0.1242, Ames = 0.1672, hERG = 0.7183, CYP3A4 = 0.6802, Teratogenicity = 0.1869
Enalapril_148 DILI = 0.1937, Ames = 0.2334, hERG = 0.1598, CYP3A4 = 0.2198, Teratogenicity = 0.1743
Ramipril_149 DILI = 0.1248, Ames = 0.2674, hERG = 0.2399, CYP3A4 = 0.4587, Teratogenicity = 0.2039
Irbesartan_150 DILI = 0.6320, Ames = 0.1926, hERG = 0.8285, CYP3A4 = 0.8845, Teratogenicity = 0.4125
Olmesartan_151 DILI = 0.9158, Ames = 0.0935, hERG = 0.5637, CYP3A4 = 0.8686, Teratogenicity = 0.3877
Telmisartan_152 DILI = 0.5869, Ames = 0.2680, hERG = 0.9628, CYP3A4 = 0.7110, Teratogenicity = 0.3190
Hydrochlorothiazide_153 DILI = 0.9055, Ames = 0.0995, hERG = 0.0875, CYP3A4 = 0.0443, Teratogenicity = 0.6757
Furosemide_154 DILI = 0.9875, Ames = 0.0315, hERG = 0.1211, CYP3A4 = 0.4163, Teratogenicity = 0.6679
Spironolactone_155 DILI = 0.1960, Ames = 0.0589, hERG = 0.3312, CYP3A4 = 0.2177, Teratogenicity = 0.8152
Amiodarone_156 DILI = 0.5986, Ames = 0.1039, hERG = 0.7676, CYP3A4 = 0.3809, Teratogenicity = 0.1739
Digoxin_157 DILI = 0.4590, Ames = 0.0325, hERG = 0.2772, CYP3A4 = 0.3330, Teratogenicity = 0.7878
Warfarin_158 DILI = 0.7695, Ames = 0.2327, hERG = 0.4044, CYP3A4 = 0.5201, Teratogenicity = 0.5178
Clopidogrel_159 DILI = 0.1511, Ames = 0.0652, hERG = 0.5311, CYP3A4 = 0.2459, Teratogenicity = 0.3023
Atorvastatin_160 DILI = 0.8230, Ames = 0.0252, hERG = 0.4552, CYP3A4 = 0.3701, Teratogenicity = 0.8520
Rosuvastatin_161 DILI = 0.8415, Ames = 0.0091, hERG = 0.1472, CYP3A4 = 0.2315, Teratogenicity = 0.4997
Simvastatin_162 DILI = 0.0741, Ames = 0.0483, hERG = 0.3384, CYP3A4 = 0.8812, Teratogenicity = 0.6115
Pravastatin_163 DILI = 0.1905, Ames = 0.0218, hERG = 0.0630, CYP3A4 = 0.3256, Teratogenicity = 0.5272
Ezetimibe_164 DILI = 0.4984, Ames = 0.0385, hERG = 0.8226, CYP3A4 = 0.7594, Teratogenicity = 0.6306
Fenofibrate_165 DILI = 0.6546, Ames = 0.0447, hERG = 0.4566, CYP3A4 = 0.5476, Teratogenicity = 0.3476
Metformin_166 DILI = 0.0689, Ames = 0.3641, hERG = 0.0323, CYP3A4 = 0.0236, Teratogenicity = 0.4511
Gliclazide_167 DILI = 0.9385, Ames = 0.0560, hERG = 0.2781, CYP3A4 = 0.4234, Teratogenicity = 0.8873
Glimepiride_168 DILI = 0.9062, Ames = 0.1095, hERG = 0.3528, CYP3A4 = 0.4593, Teratogenicity = 0.7981
Sitagliptin_169 DILI = 0.5290, Ames = 0.0442, hERG = 0.2549, CYP3A4 = 0.7277, Teratogenicity = 0.7219
Empagliflozin_170 DILI = 0.7643, Ames = 0.1187, hERG = 0.2796, CYP3A4 = 0.2890, Teratogenicity = 0.2738
Dapagliflozin_171 DILI = 0.8398, Ames = 0.1120, hERG = 0.1273, CYP3A4 = 0.2467, Teratogenicity = 0.6607
Pioglitazone_172 DILI = 0.8364, Ames = 0.1332, hERG = 0.7780, CYP3A4 = 0.8358, Teratogenicity = 0.3813
Omeprazole_173 DILI = 0.9319, Ames = 0.5773, hERG = 0.6536, CYP3A4 = 0.8728, Teratogenicity = 0.1763
Pantoprazole_174 DILI = 0.9754, Ames = 0.3139, hERG = 0.4392, CYP3A4 = 0.8063, Teratogenicity = 0.0862
Esomeprazole_175 DILI = 0.9314, Ames = 0.3432, hERG = 0.5639, CYP3A4 = 0.8334, Teratogenicity = 0.0656
Ranitidine_176 DILI = 0.5062, Ames = 0.3538, hERG = 0.2674, CYP3A4 = 0.1254, Teratogenicity = 0.3093
Lansoprazole_177 DILI = 0.9193, Ames = 0.1843, hERG = 0.7969, CYP3A4 = 0.9013, Teratogenicity = 0.4650
Metoclopramide_179 DILI = 0.1911, Ames = 0.2482, hERG = 0.6331, CYP3A4 = 0.3701, Teratogenicity = 0.3625
Ondansetron_180 DILI = 0.6486, Ames = 0.3874, hERG = 0.9158, CYP3A4 = 0.7797, Teratogenicity = 0.6460
Loperamide_181 DILI = 0.1248, Ames = 0.0728, hERG = 0.8694, CYP3A4 = 0.7215, Teratogenicity = 0.2213
Mesalazine_182 DILI = 0.3916, Ames = 0.3314, hERG = 0.0075, CYP3A4 = 0.0125, Teratogenicity = 0.3877
Salbutamol_183 DILI = 0.0260, Ames = 0.0976, hERG = 0.1183, CYP3A4 = 0.1147, Teratogenicity = 0.3665
Salmeterol_184 DILI = 0.0412, Ames = 0.0066, hERG = 0.5210, CYP3A4 = 0.3811, Teratogenicity = 0.1891
Formoterol_185 DILI = 0.0464, Ames = 0.0883, hERG = 0.1387, CYP3A4 = 0.1174, Teratogenicity = 0.3388
Budesonide_186 DILI = 0.1681, Ames = 0.0525, hERG = 0.2242, CYP3A4 = 0.3005, Teratogenicity = 0.8814
Fluticasone_187 DILI = 0.1352, Ames = 0.1493, hERG = 0.4911, CYP3A4 = 0.5064, Teratogenicity = 0.8456
Montelukast_188 DILI = 0.4134, Ames = 0.0197, hERG = 0.5075, CYP3A4 = 0.5317, Teratogenicity = 0.1973
Cetirizine_189 DILI = 0.2801, Ames = 0.0203, hERG = 0.3454, CYP3A4 = 0.2030, Teratogenicity = 0.1208
Loratadine_190 DILI = 0.2515, Ames = 0.2713, hERG = 0.8622, CYP3A4 = 0.6102, Teratogenicity = 0.3844
Fexofenadine_191 DILI = 0.1933, Ames = 0.1291, hERG = 0.3113, CYP3A4 = 0.5110, Teratogenicity = 0.2281
Diphenhydramine_192 DILI = 0.0727, Ames = 0.2223, hERG = 0.8883, CYP3A4 = 0.3070, Teratogenicity = 0.2175
Chlorpheniramine_193 DILI = 0.1485, Ames = 0.1455, hERG = 0.7686, CYP3A4 = 0.3832, Teratogenicity = 0.3831
Pseudoephedrine_194 DILI = 0.0371, Ames = 0.1333, hERG = 0.1904, CYP3A4 = 0.0677, Teratogenicity = 0.3483
Fluoxetine_195 DILI = 0.0700, Ames = 0.0296, hERG = 0.8597, CYP3A4 = 0.5909, Teratogenicity = 0.3694
Sertraline_196 DILI = 0.0925, Ames = 0.1710, hERG = 0.8609, CYP3A4 = 0.6818, Teratogenicity = 0.7125
Paroxetine_197 DILI = 0.2812, Ames = 0.3886, hERG = 0.9349, CYP3A4 = 0.3340, Teratogenicity = 0.6876
Escitalopram_198 DILI = 0.1216, Ames = 0.1743, hERG = 0.9422, CYP3A4 = 0.5596, Teratogenicity = 0.7550
Venlafaxine_199 DILI = 0.0755, Ames = 0.1105, hERG = 0.6401, CYP3A4 = 0.4766, Teratogenicity = 0.1339
Duloxetine_200 DILI = 0.3758, Ames = 0.3186, hERG = 0.9177, CYP3A4 = 0.7368, Teratogenicity = 0.3430
Amitriptyline_201 DILI = 0.2208, Ames = 0.5807, hERG = 0.8901, CYP3A4 = 0.2669, Teratogenicity = 0.5354
