Salbutamol_183 DILI = 0.0253, Ames = 0.0416, hERG = 0.1065, CYP3A4 = 0.0992, Teratogenicity = 0.3723
Salmeterol_184 DILI = 0.0454, Ames = 0.0053, hERG = 0.5635, CYP3A4 = 0.4958, Teratogenicity = 0.2890
Formoterol_185 DILI = 0.0499, Ames = 0.0708, hERG = 0.1160, CYP3A4 = 0.0926, Teratogenicity = 0.3661
Budesonide_186 DILI = 0.2208, Ames = 0.0766, hERG = 0.2224, CYP3A4 = 0.3256, Teratogenicity = 0.9096
Fluticasone_187 DILI = 0.1407, Ames = 0.0303, hERG = 0.2171, CYP3A4 = 0.7551, Teratogenicity = 0.8624
Montelukast_188 DILI = 0.2372, Ames = 0.0036, hERG = 0.8377, CYP3A4 = 0.2771, Teratogenicity = 0.2110
Cetirizine_189 DILI = 0.1977, Ames = 0.0123, hERG = 0.1559, CYP3A4 = 0.1465, Teratogenicity = 0.1374
Loratadine_190 DILI = 0.3446, Ames = 0.0944, hERG = 0.9016, CYP3A4 = 0.5242, Teratogenicity = 0.2832
Fexofenadine_191 DILI = 0.1575, Ames = 0.0200, hERG = 0.1635, CYP3A4 = 0.4385, Teratogenicity = 0.2687
Diphenhydramine_192 DILI = 0.0600, Ames = 0.1698, hERG = 0.9492, CYP3A4 = 0.2006, Teratogenicity = 0.2078
Chlorpheniramine_193 DILI = 0.0761, Ames = 0.0900, hERG = 0.9181, CYP3A4 = 0.3409, Teratogenicity = 0.2098
Pseudoephedrine_194 DILI = 0.0342, Ames = 0.0715, hERG = 0.0476, CYP3A4 = 0.0540, Teratogenicity = 0.2971
Fluoxetine_195 DILI = 0.0763, Ames = 0.0188, hERG = 0.9571, CYP3A4 = 0.5612, Teratogenicity = 0.3962
Sertraline_196 DILI = 0.1509, Ames = 0.0739, hERG = 0.9291, CYP3A4 = 0.3828, Teratogenicity = 0.2644
Paroxetine_197 DILI = 0.3513, Ames = 0.2898, hERG = 0.9769, CYP3A4 = 0.2764, Teratogenicity = 0.6168
Escitalopram_198 DILI = 0.1912, Ames = 0.0680, hERG = 0.9845, CYP3A4 = 0.5288, Teratogenicity = 0.7503
Venlafaxine_199 DILI = 0.0629, Ames = 0.1248, hERG = 0.8742, CYP3A4 = 0.3924, Teratogenicity = 0.2124
Duloxetine_200 DILI = 0.3126, Ames = 0.2158, hERG = 0.9306, CYP3A4 = 0.7295, Teratogenicity = 0.4621
Amitriptyline_201 DILI = 0.3042, Ames = 0.4387, hERG = 0.9013, CYP3A4 = 0.1542, Teratogenicity = 0.2632
Diazepam_202 DILI = 0.7248, Ames = 0.0720, hERG = 0.4264, CYP3A4 = 0.4533, Teratogenicity = 0.2898
Lorazepam_203 DILI = 0.9620, Ames = 0.0313, hERG = 0.1133, CYP3A4 = 0.2975, Teratogenicity = 0.4233
Alprazolam_204 DILI = 0.4903, Ames = 0.0520, hERG = 0.8607, CYP3A4 = 0.5637, Teratogenicity = 0.2599
Zolpidem_205 DILI = 0.6712, Ames = 0.2362, hERG = 0.8720, CYP3A4 = 0.5868, Teratogenicity = 0.3303
Haloperidol_206 DILI = 0.2784, Ames = 0.0168, hERG = 0.9736, CYP3A4 = 0.4703, Teratogenicity = 0.9295
Risperidone_207 DILI = 0.7476, Ames = 0.3441, hERG = 0.9875, CYP3A4 = 0.5110, Teratogenicity = 0.2938
Quetiapine_208 DILI = 0.5694, Ames = 0.0207, hERG = 0.7118, CYP3A4 = 0.3519, Teratogenicity = 0.2689
Carbamazepine_209 DILI = 0.9078, Ames = 0.5163, hERG = 0.4223, CYP3A4 = 0.3981, Teratogenicity = 0.3776
Valproate_210 DILI = 0.0454, Ames = 0.0205, hERG = 0.0026, CYP3A4 = 0.0497, Teratogenicity = 0.6411
Lamotrigine_211 DILI = 0.9351, Ames = 0.5691, hERG = 0.0187, CYP3A4 = 0.0789, Teratogenicity = 0.3383
Levetiracetam_212 DILI = 0.0764, Ames = 0.1230, hERG = 0.0082, CYP3A4 = 0.0099, Teratogenicity = 0.5414
Gabapentin_213 DILI = 0.0640, Ames = 0.0186, hERG = 0.0065, CYP3A4 = 0.0080, Teratogenicity = 0.7072
Pregabalin_214 DILI = 0.0193, Ames = 0.0915, hERG = 0.0010, CYP3A4 = 0.0061, Teratogenicity = 0.7135
Donepezil_215 DILI = 0.1604, Ames = 0.0088, hERG = 0.9610, CYP3A4 = 0.7257, Teratogenicity = 0.2441
Memantine_216 DILI = 0.0711, Ames = 0.2385, hERG = 0.4932, CYP3A4 = 0.1151, Teratogenicity = 0.7040
Methylphenidate_217 DILI = 0.0917, Ames = 0.0254, hERG = 0.1867, CYP3A4 = 0.3259, Teratogenicity = 0.3489
Bupropion_218 DILI = 0.0966, Ames = 0.0773, hERG = 0.4832, CYP3A4 = 0.3262, Teratogenicity = 0.3396
Fluconazole_219 DILI = 0.4711, Ames = 0.0501, hERG = 0.2414, CYP3A4 = 0.8526, Teratogenicity = 0.7600
Clotrimazole_220 DILI = 0.4716, Ames = 0.1160, hERG = 0.8845, CYP3A4 = 0.9599, Teratogenicity = 0.2564
Acyclovir_221 DILI = 0.9451, Ames = 0.3278, hERG = 0.0063, CYP3A4 = 0.0223, Teratogenicity = 0.5198
